CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
EK,2449,EMIRATES,2024-07-11T16:00:00,2024-07-11T16:00:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
FZ,1082,FLYDUBAI,2024-07-11T16:00:00,2024-07-11T16:00:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
LH,680,LUFTHANSA,2024-07-11T16:00:00,2024-07-11T16:00:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,2372,EL AL ISRAEL AIRLINES,2024-07-11T16:00:00,2024-07-11T16:00:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3154,SAS,2024-07-11T16:00:00,2024-07-11T16:00:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7171,BRUSSELS AIRLINES,2024-07-11T16:00:00,2024-07-11T16:00:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
UA,9471,UNITED AIRLINES,2024-07-11T16:00:00,2024-07-11T16:00:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
6H,725,ISRAIR AIRLINES,2024-07-11T16:00:00,2024-07-11T16:00:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1,,,ON TIME,בזמן
AM,6803,AERO MEXICO,2024-07-11T16:05:00,2024-07-11T16:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
MU,4997,CHINA EASTERN AIRLINES Co. Ltd,2024-07-11T16:05:00,2024-07-11T16:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
UX,1302,AIR EUROPA,2024-07-11T16:05:00,2024-07-11T16:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
AM,7851,AERO MEXICO,2024-07-11T16:10:00,2024-07-11T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
BUC,4667,EUROPEAN AIR CHARTER,2024-07-11T16:10:00,2024-07-11T16:10:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,313,EL AL ISRAEL AIRLINES,2024-07-11T16:10:00,2024-07-11T16:10:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2024-07-11T16:10:00,2024-07-11T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
SK,3151,SAS,2024-07-11T16:10:00,2024-07-11T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
U8,153,TUS AIRWAYS,2024-07-11T16:10:00,2024-07-11T16:10:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
